,name,trainer,course,start_date,score,trait,week
0,Quintus Penella,Gregor Gomez,Business,2019-02-11,1.0,Analytic,1
1,Simon Murrey,Gregor Gomez,Business,2019-02-11,6.0,Analytic,1
2,Gustaf Lude,Gregor Gomez,Business,2019-02-11,6.0,Analytic,1
3,Yolanda Fosse,Gregor Gomez,Business,2019-02-11,2.0,Analytic,1
4,Lynnett Swin,Gregor Gomez,Business,2019-02-11,2.0,Analytic,1
5,Bart Godilington,Gregor Gomez,Business,2019-02-11,3.0,Analytic,1
6,Deni Roust,Gregor Gomez,Business,2019-02-11,6.0,Analytic,1
7,Gerhard Mcgrath,Gregor Gomez,Business,2019-02-11,2.0,Analytic,1
8,Benedick Arnhold,Bruce Lugo,Business,2019-03-18,5.0,Analytic,1
9,Herminia Brettel,Bruce Lugo,Business,2019-03-18,5.0,Analytic,1
10,Nicolai Nussey,Bruce Lugo,Business,2019-03-18,4.0,Analytic,1
11,Elora Ellen,Bruce Lugo,Business,2019-03-18,3.0,Analytic,1
12,Llywellyn Hoggins,Bruce Lugo,Business,2019-03-18,1.0,Analytic,1
13,Bobbye Hains,Bruce Lugo,Business,2019-03-18,3.0,Analytic,1
14,Audrye Tobias,Bruce Lugo,Business,2019-03-18,5.0,Analytic,1
15,Georg Battman,Bruce Lugo,Business,2019-03-18,1.0,Analytic,1
16,Adolph Andreia,Bruce Lugo,Business,2019-03-18,3.0,Analytic,1
17,Ilaire Ord,Bruce Lugo,Business,2019-03-18,7.0,Analytic,1
18,Thorpe Pettett,Bruce Lugo,Business,2019-03-18,6.0,Analytic,1
19,Tiphany Gribben,Bruce Lugo,Business,2019-03-18,2.0,Analytic,1
20,Pam Hupka,Bruce Lugo,Business,2019-03-18,1.0,Analytic,1
21,Verne Francescuzzi,Gregor Gomez,Business,2019-04-15,2.0,Analytic,1
22,Audi Westmacott,Gregor Gomez,Business,2019-04-15,2.0,Analytic,1
23,Gae Crutch,Gregor Gomez,Business,2019-04-15,6.0,Analytic,1
24,Fowler Crewdson,Gregor Gomez,Business,2019-04-15,1.0,Analytic,1
25,Joletta Matzaitis,Gregor Gomez,Business,2019-04-15,4.0,Analytic,1
26,Ofelia Helm,Gregor Gomez,Business,2019-04-15,1.0,Analytic,1
27,Quinton Kuhnt,Gregor Gomez,Business,2019-04-15,2.0,Analytic,1
28,Frankie Mabee,Gregor Gomez,Business,2019-04-15,1.0,Analytic,1
29,Cami Burberow,Gregor Gomez,Business,2019-04-15,1.0,Analytic,1
30,Gayla Bownas,Gregor Gomez,Business,2019-04-15,3.0,Analytic,1
31,Latisha Ibel,Gregor Gomez,Business,2019-04-15,2.0,Analytic,1
32,Darb Noor,Neil Mccarthy,Business,2019-05-20,3.0,Analytic,1
33,Adah Spencers,Neil Mccarthy,Business,2019-05-20,5.0,Analytic,1
34,Kariotta Barense,Neil Mccarthy,Business,2019-05-20,4.0,Analytic,1
35,Biddy Rapps,Neil Mccarthy,Business,2019-05-20,4.0,Analytic,1
36,Thatcher Frankish,Neil Mccarthy,Business,2019-05-20,3.0,Analytic,1
37,Idelle Kidstoun,Neil Mccarthy,Business,2019-05-20,4.0,Analytic,1
38,Bailey Antrim,Neil Mccarthy,Business,2019-05-20,2.0,Analytic,1
39,William Dryden,Neil Mccarthy,Business,2019-05-20,2.0,Analytic,1
40,Dean Burnup,Neil Mccarthy,Business,2019-05-20,1.0,Analytic,1
41,Burtie Garfitt,Neil Mccarthy,Business,2019-05-20,1.0,Analytic,1
42,Maggy Clapison,Neil Mccarthy,Business,2019-05-20,2.0,Analytic,1
43,Julia Llorens,Neil Mccarthy,Business,2019-05-20,5.0,Analytic,1
44,Sanford Larking,Rachel Richard,Business,2019-07-15,3.0,Analytic,1
45,Ulrika Lemerie,Rachel Richard,Business,2019-07-15,6.0,Analytic,1
46,Alidia Govett,Rachel Richard,Business,2019-07-15,3.0,Analytic,1
47,Angel Matteau,Rachel Richard,Business,2019-07-15,4.0,Analytic,1
48,Wolfie Showers,Rachel Richard,Business,2019-07-15,1.0,Analytic,1
49,Nicolea Gibbins,Rachel Richard,Business,2019-07-15,1.0,Analytic,1
50,Florina Sudlow,Rachel Richard,Business,2019-07-15,7.0,Analytic,1
51,Dianna Brewett,Rachel Richard,Business,2019-07-15,8.0,Analytic,1
52,Megan Hallihan,Rachel Richard,Business,2019-07-15,1.0,Analytic,1
53,Sherlocke Baselio,Rachel Richard,Business,2019-07-15,2.0,Analytic,1
54,Keen Tripony,Rachel Richard,Business,2019-07-15,5.0,Analytic,1
55,Collete Causbey,Rachel Richard,Business,2019-07-15,1.0,Analytic,1
56,Gabi Ivins,Gregor Gomez,Business,2019-07-29,4.0,Analytic,1
57,Melodee Crippen,Gregor Gomez,Business,2019-07-29,4.0,Analytic,1
58,Wilt Gotliffe,Gregor Gomez,Business,2019-07-29,1.0,Analytic,1
59,Mela Burgill,Gregor Gomez,Business,2019-07-29,1.0,Analytic,1
60,Uriel Eidelman,Gregor Gomez,Business,2019-07-29,8.0,Analytic,1
61,Vivienne Blakelock,Gregor Gomez,Business,2019-07-29,2.0,Analytic,1
62,Auberon Werny,Gregor Gomez,Business,2019-07-29,5.0,Analytic,1
63,Nikolaus Gullefant,Gregor Gomez,Business,2019-07-29,1.0,Analytic,1
64,Prentice Van Der Hoeven,Gregor Gomez,Business,2019-07-29,3.0,Analytic,1
65,Alikee Sawood,Gregor Gomez,Business,2019-07-29,2.0,Analytic,1
66,Guido Lassells,Gregor Gomez,Business,2019-07-29,4.0,Analytic,1
67,Verena Townes,Gregor Gomez,Business,2019-07-29,4.0,Analytic,1
68,Kylie Cordell,Gregor Gomez,Business,2019-07-29,3.0,Analytic,1
69,Cornelia Artist,Hamzah Melia,Business,2019-08-12,3.0,Analytic,1
70,Hanni Katt,Hamzah Melia,Business,2019-08-12,6.0,Analytic,1
71,Eric Spritt,Hamzah Melia,Business,2019-08-12,1.0,Analytic,1
72,Merrill Mckie,Hamzah Melia,Business,2019-08-12,7.0,Analytic,1
73,Marcela Riding,Hamzah Melia,Business,2019-08-12,3.0,Analytic,1
74,Lea Normington,Hamzah Melia,Business,2019-08-12,2.0,Analytic,1
75,Aguste Tann,Hamzah Melia,Business,2019-08-12,4.0,Analytic,1
76,Anet Satterley,Hamzah Melia,Business,2019-08-12,7.0,Analytic,1
77,Agace O'Shields,Hamzah Melia,Business,2019-08-12,4.0,Analytic,1
78,Matteo Yeowell,Burhan Milner,Business,2019-09-16,3.0,Analytic,1
79,Deck Itzchaki,Burhan Milner,Business,2019-09-16,2.0,Analytic,1
80,Tarrah Bunny,Burhan Milner,Business,2019-09-16,3.0,Analytic,1
81,Fairlie Cogzell,Burhan Milner,Business,2019-09-16,5.0,Analytic,1
82,Robinet Renwick,Burhan Milner,Business,2019-09-16,3.0,Analytic,1
83,Boote Moan,Burhan Milner,Business,2019-09-16,5.0,Analytic,1
84,Vaughn Wallington,Burhan Milner,Business,2019-09-16,1.0,Analytic,1
85,Jim Dwerryhouse,Burhan Milner,Business,2019-09-16,5.0,Analytic,1
86,Harriett Saffin,Burhan Milner,Business,2019-09-16,3.0,Analytic,1
87,Omero Shill,Burhan Milner,Business,2019-09-16,4.0,Analytic,1
88,Casey Putten,Elly Kelly,Business,2019-10-21,3.0,Analytic,1
89,Una Caldicot,Elly Kelly,Business,2019-10-21,2.0,Analytic,1
90,Riva Mangeot,Elly Kelly,Business,2019-10-21,4.0,Analytic,1
91,Gery Marchment,Elly Kelly,Business,2019-10-21,4.0,Analytic,1
92,Brendan Tithecott,Elly Kelly,Business,2019-10-21,3.0,Analytic,1
93,Dorice Slides,Elly Kelly,Business,2019-10-21,5.0,Analytic,1
94,Kalinda Leebetter,Elly Kelly,Business,2019-10-21,2.0,Analytic,1
95,Fifi Kingsly,Elly Kelly,Business,2019-10-21,3.0,Analytic,1
96,Zollie Danks,Elly Kelly,Business,2019-10-21,1.0,Analytic,1
97,Katleen Trunks,Elly Kelly,Business,2019-10-21,2.0,Analytic,1
98,Heida Cossom,Elly Kelly,Business,2019-10-21,1.0,Analytic,1
99,Nicola Lavall,Elly Kelly,Business,2019-10-21,1.0,Analytic,1
100,Rossie Caitlin,Bruce Lugo,Business,2019-11-18,1.0,Analytic,1
101,Marmaduke Kiefer,Bruce Lugo,Business,2019-11-18,4.0,Analytic,1
102,Dina Mcgookin,Bruce Lugo,Business,2019-11-18,2.0,Analytic,1
103,Reuven Kneaphsey,Bruce Lugo,Business,2019-11-18,3.0,Analytic,1
104,Stephi Duckering,Bruce Lugo,Business,2019-11-18,3.0,Analytic,1
105,Homer Sebborn,Bruce Lugo,Business,2019-11-18,5.0,Analytic,1
106,Say Kleinhausen,Bruce Lugo,Business,2019-11-18,1.0,Analytic,1
107,Tyler Traynor,Bruce Lugo,Business,2019-11-18,1.0,Analytic,1
108,Johnath Tufts,Bruce Lugo,Business,2019-11-18,3.0,Analytic,1
109,Kristin Bardill,Bruce Lugo,Business,2019-11-18,3.0,Analytic,1
110,Timmie Knudsen,Elly Kelly,Business,2019-12-30,2.0,Analytic,1
111,Mona Orviss,Elly Kelly,Business,2019-12-30,6.0,Analytic,1
112,Everett O'Clery,Elly Kelly,Business,2019-12-30,2.0,Analytic,1
113,Konstanze Trynor,Elly Kelly,Business,2019-12-30,2.0,Analytic,1
114,Robinett Mcphate,Elly Kelly,Business,2019-12-30,1.0,Analytic,1
115,Ronda Aggis,Elly Kelly,Business,2019-12-30,1.0,Analytic,1
116,Caril Bayly,Elly Kelly,Business,2019-12-30,3.0,Analytic,1
117,Mari Lotterington,Elly Kelly,Business,2019-12-30,4.0,Analytic,1
118,Jacquelynn Savin,Elly Kelly,Business,2019-12-30,1.0,Analytic,1
119,Ives Weddell,Elly Kelly,Business,2019-12-30,4.0,Analytic,1
120,Gerda Yuille,Elly Kelly,Business,2019-12-30,3.0,Analytic,1
121,Pyotr De Zuani,Trixie Orange,Data,2019-02-18,1.0,Analytic,1
122,Vince Scott,Trixie Orange,Data,2019-02-18,1.0,Analytic,1
123,Kellie Althorp,Trixie Orange,Data,2019-02-18,3.0,Analytic,1
124,Aida Bothams,Trixie Orange,Data,2019-02-18,4.0,Analytic,1
125,Nettie Civitillo,Trixie Orange,Data,2019-02-18,5.0,Analytic,1
126,Bernadette Gerardi,Trixie Orange,Data,2019-02-18,6.0,Analytic,1
127,Teddy Ham,Trixie Orange,Data,2019-02-18,4.0,Analytic,1
128,Ivory Linnemann,Trixie Orange,Data,2019-02-18,2.0,Analytic,1
129,Onida Tregear,Trixie Orange,Data,2019-02-18,6.0,Analytic,1
130,Jacki Pinkstone,Trixie Orange,Data,2019-02-18,2.0,Analytic,1
131,Kaleb Cappel,Trixie Orange,Data,2019-02-18,4.0,Analytic,1
132,Gussy Mathias,John Sandbox,Data,2019-03-04,6.0,Analytic,1
133,Shawn Bowmer,John Sandbox,Data,2019-03-04,8.0,Analytic,1
134,Arda Disbrow,John Sandbox,Data,2019-03-04,2.0,Analytic,1
135,El Durante,John Sandbox,Data,2019-03-04,2.0,Analytic,1
136,Dionysus Garter,John Sandbox,Data,2019-03-04,3.0,Analytic,1
137,Connor Gegg,John Sandbox,Data,2019-03-04,1.0,Analytic,1
138,Barrie Schruurs,John Sandbox,Data,2019-03-04,1.0,Analytic,1
139,Fletcher Ayllett,John Sandbox,Data,2019-03-04,1.0,Analytic,1
140,Slade Cannavan,John Sandbox,Data,2019-03-04,5.0,Analytic,1
141,Bert Spall,John Sandbox,Data,2019-03-04,3.0,Analytic,1
142,Denyse Worley,Edward Reinhart,Data,2019-04-08,4.0,Analytic,1
143,Jard Antonowicz,Edward Reinhart,Data,2019-04-08,1.0,Analytic,1
144,Burtie Clubley,Edward Reinhart,Data,2019-04-08,7.0,Analytic,1
145,Idaline Gadeaux,Edward Reinhart,Data,2019-04-08,2.0,Analytic,1
146,Gaspard Dunn,Edward Reinhart,Data,2019-04-08,1.0,Analytic,1
147,Reg Mcreynold,Edward Reinhart,Data,2019-04-08,1.0,Analytic,1
148,Penni Grioli,Edward Reinhart,Data,2019-04-08,3.0,Analytic,1
149,Kial Gowdy,Edward Reinhart,Data,2019-04-08,3.0,Analytic,1
